name,id,case,victim
Asmat,9415,0,0
Biak Numfor,9409,2,2
Boven Digoel,9413,2,2
Deiyai,9436,2,2
Dogiyai,9434,3,4
Intan Jaya,9435,1,1
Jayapura,9403,2,2
Kota Jayapura,9471,9,15
Jayawijaya,9402,7,7
Keerom,9420,1,1
Kepulauan Yapen,9408,5,8
Lanny Jaya,9430,1,1
Mamberamo Raya,9428,0,0
Mamberamo Tengah,9431,0,0
Mappi,9414,1,1
Merauke,9401,5,5
Mimika,9412,6,8
Nabire,9404,2,2
Nduga,9429,1,1
Paniai,9410,4,7
Pegunungan Bintang,9417,0,0
Puncak,9433,1,1
Puncak Jaya,9411,3,5
Sarmi,9419,0,0
Supiori,9427,0,0
Tolikara,9418,1,1
Waropen,9426,0,0
Yahukimo,9416,2,2
Yalimo,9432,0,0
Fakfak,9101,1,1
Kaimana,9102,0,0
Kota Sorong,9171,1,1
Manokwari,9105,5,6
Maybrat,9110,0,0
Raja Ampat,9108,1,5
Sorong,9107,1,3
Sorong Selatan,9106,0,0
Tambrauw,9109,0,0
Teluk Bintuni,9104,1,3
Teluk Wondama,9103,0,0
